Date,Arrivals
1/1/2018,"2,501,409"
1/2/2018,"2,509,297"
1/3/2018,"2,607,956"
1/4/2018,"2,900,718"
1/5/2018,"2,675,052"
1/6/2018,"2,704,631"
1/7/2018,"2,832,040"
1/8/2018,"2,578,021"
1/9/2018,"2,159,595"
1/10/2018,"2,640,610"
1/11/2018,"2,450,751"
1/12/2018,"2,631,776"
1/1/2019,"2,689,339"
1/2/2019,"2,604,322"
1/3/2019,"2,760,136"
1/4/2019,"2,926,685"
1/5/2019,"2,773,091"
1/6/2019,"2,880,041"
1/7/2019,"2,991,189"
1/8/2019,"2,520,134"
1/9/2019,"2,272,883"
1/10/2019,"2,496,568"
1/11/2019,"2,441,274"
1/12/2019,"2,526,387"
1/1/2020,"2,661,022"
1/2/2020,"1,085,147"
1/3/2020,"193,658"
1/4/2020,"2,917"
1/5/2020,"1,663"
1/6/2020,"2,565"
1/7/2020,"3,782"
1/8/2020,"8,658"
1/9/2020,"13,684"
1/10/2020,"27,386"
1/11/2020,"56,673"
1/12/2020,"58,673"
1/1/2021,"46,522"
1/2/2021,"7,355"
1/3/2021,"12,276"
1/4/2021,"10,853"
1/5/2021,"10,035"
1/6/2021,"9,251"
1/7/2021,"51,055"
1/8/2021,"25,916"
1/9/2021,"17,720"
1/10/2021,"22,113"
1/11/2021,"20,682"
1/12/2021,"12,084"
1/1/2022,"17,766"
1/2/2022,"16,719"
1/3/2022,"66,121"
1/4/2022,"139,548"
1/5/2022,"147,046"
1/6/2022,"120,430"
1/7/2022,"144,578"
1/8/2022,"169,902"
1/9/2022,"206,641"
1/10/2022,"498,646"
1/11/2022,"934,599"
1/12/2022,"1,370,114"
1/1/2023,"1,497,300"
1/2/2023,"1,475,300"
